id,title,author,category_id,description,img_url,isbn
1,Người La Ha ở Việt Nam,"Thị Thu Hương Lê, Thúy Hằng Bùi",0,"Cuốn sách tập hợp những hình ảnh chân thực và sinh động phản ánh nhiều phương diện trong đời sống của người La Ha từ nguồn gốc và phân bố dân cư, bản làng, nhà ở, nguồn sống...",https://books.google.com/books/content?id=VNKMaSBk4f8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A
2,NTC's Vietnamese-English Dictionary,Dinh-hoa Nguyen,0,"Includes 50,000 definitions and pronunciation tones for northern, central, and southern parts of Vietnam.",https://books.google.com/books/content?id=4892EoUm2REC&printsec=frontcover&img=1&zoom=1&source=gbs_api,9780844283579
3,The Green Belt,Thế Vinh Ngô,0,"""The Green Belt"" is the story of a Vietnamese newspaper reporter who journeyed into the central highlands of Vietnam during the war in the late 1960s and witnessed the traditional antagonism between tribal highlanders and lowland Vietnamese. Of interest and current significance is the narrator's account of the highlanders' side of the conflict, and his evaluation of alternative solutions that could have advanced the welfare of ethnic minorities. Socially relevant, the novel recounts a true ongoing conflict. Fighting over land and religion in Vietnam's central highlands is a human rights issue frequently making the news. Several thousand Montagnards, many of whom fought alongside the U.S. Special Forces during the Vietnam War, resettled in North Carolina in the period after 1975. This large community never stops growing as a result of the endless exodus for freedom. The compelling story of this novel, blended of fact and fiction, reveals the roots of unrest and is a unique voice advocating survival of indigenous peoples in mainland Southeast Asia.",https://books.google.com/books/content?id=2CNFI_8ZZbAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,9781571973948
4,CUỘC CHIẾN VÀNG - ĐÔ QUA LĂNG KÍNH KINH TẾ CHÍNH TRỊ,TRẦN HÀN,0,"Không phải mọi cuộc chiến đều có tiếng súng. Có những cuộc chiến diễn ra trong bóng tối của ngân hàng trung ương, trong những căn phòng kín của giới quyền lực, nơi một quyết định nhỏ có thể làm sụp đổ cả nền kinh tế. Ở đó, vàng và đô la Mỹ lặng lẽ đối đầu. Một bên là kim loại cổ xưa đã tồn tại hàng nghìn năm, không thể in thêm, không thể thao túng. Một bên là đồng tiền quyền lực nhất lịch sử, được hậu thuẫn bởi sức mạnh chính trị và những cỗ máy in tiền không ngừng nghỉ. Khi khủng hoảng bùng nổ, chiến tranh nổ ra, niềm tin lung lay… dòng vốn bí ẩn luôn dịch chuyển. Ai đang điều khiển nó? Ai thực sự kiểm soát luật chơi? Cuộc chiến Vàng – USD qua lăng kính kinh tế chính trị không chỉ kể câu chuyện về tiền tệ, mà bóc tách những tầng sâu của quyền lực toàn cầu – nơi kinh tế là vũ khí, còn tiền tệ là công cụ thống trị. Sự thật đôi khi không nằm trên bảng giá. Nó nằm sau cánh cửa mà rất ít người được phép nhìn thấy.",https://books.google.com/books/content?id=Kde7EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A
5,Một số vấn đề lý luận kinh tế chính trị và phát triển kinh tế Việt Nam,Unknown,0,Collection of arguments on socio-economic and political development in Vietnam.,https://books.google.com/books/content?id=5LbsAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A
6,"Cơ sở khoa học đẻ̂ xây dựng tiêu chí, bước đi, cơ ché̂ chính sách trong quá trình công nghiệp hoá, hiện đại hoá nông nghiệp, nông thôn",Unknown,0,Aspects of industrialization and modern agriculture for economic development in the rural area of Vietnam.,https://books.google.com/books/content?id=y7TsAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A
7,Góp phần tìm hiểu quyền con người ở Việt Nam,Hùng Hải Hoàng,0,On the implementation of human rights in Vietnam.,https://books.google.com/books/content?id=mAxjiGfwSFEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A
8,Su Quan Ly Cong Cong Cua Viet Nam Trong Chuyen Tiep,Hai B. Pho,0,"""Preface to the English-Vietnamese bilingual edition""--P. 245.",https://books.google.com/books/content?id=6o0MAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A
9,"Về phát triển văn hóa và xây dựng con người thời kỳ công nghiệp hóa, hiện đại hóa",Unknown,0,"Trình bày những nội dung cơ bản về tư tưởng Hồ Chí Minh đối với phát triển văn hoá và xây dựng con người; mối quan hệ giữa văn hoá và phát triển trong thời kỳ đổi mới, phát triển toàn diện con người và xây dựng lối sống, đạo đức và chuẩn giá trị mới, một số vấn đề dân tộc và tôn giáo, ...một số khuyến nghị và giải pháp cho các vấn đề trên.",https://books.google.com/books/content?id=GdZwAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A
10,"Dong Dang-Lang Son border gate economic zone, Lang Son Province",Unknown,0,"On the activities of the Dong Dang-Lang Son economic zone and the socioeconomic development in Lang Son Province, Vietnam.",https://books.google.com/books/content?id=vpb00jqnOvIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A
11,Một số văn kiện của đảng và nhà nước về Thành phố Hồ Chí Minh,Unknown,0,Government decisions and ministerial circulars on Ho Chi Minh City development.,https://books.google.com/books/content?id=flBRAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A
12,Cuộc hải chiến huyền thoại trên đảo Gạc Ma,Unknown,0,International law in Paracel Island and Spratly Island and history of sea battle in Vietnam.,https://books.google.com/books/content?id=h26jH6TTcywC&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A
13,Biẻ̂n đông yêu dấu,Ngọc Toản Trần,0,Territorial waters of Vietnam in the South China Sea called East Vietnam Sea includes Spratly Islands (Trường Sa) and Paracel Islands (Hoàng Sa).,https://books.google.com/books/content?id=bWyEMP-LQ7MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A
14,Xây dựng đời sống văn hóa,Unknown,0,Social life in Vietnam,https://books.google.com/books/content?id=T1iSCpPvd7EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A
15,Nền Tảng Tâm Lý Học, Nicky Hayes,1,"Những ai đang quan tâm đến ngành tâm lý học, chắc chắn phải luôn đặt ra những câu hỏi là tâm lý học hiện đại đến từ đâu và phát triển từ nền tảng cốt lõi nào? "" Nền tảng tâm lý học "" trình bày súc tích và đầy đủ nhất về nguồn gốc triết học của tâm lý học, các trường phái tư tưởng trong tâm lý học, các lĩnh vực cùng những quan điểm tâm lý học khác nhau...Phương pháp biên soạn của sách còn nhắm đến ba mục đích chính: giải thích những quan điểm hoàn toàn phức tạp, sử dụng ngôn ngữ rõ ràng, dễ hiểu; chứng minh quan điểm về tâm lý học đã phát triển rõ nét và phong phú khoảng hơn một thế kỷ qua và cuối cùng là phản ánh những gì đang diễn ra trong tâm lý học hiện đại. Sách còn cung cấp một cách nhìn rộng thoáng, chiết trung, luôn cập nhật về ngành tâm lý học. Mục lục: Lời nói đầu Chương 1: Quan điểm trong tâm lý học Phần 1: Tâm lý học nhận thức Chương 2: Nhận thức và chú ý Chương 3: Trí nhớ Chương 4: Ngôn ngữ và biết đọc biết viết Chương 5: Suy nghĩ và trình bày Phần 2: Tính chất cá nhân và tính bất thường Chương 6: Trí năng Chương 7: Thuyết nhân cách Chương 8: Mô hình y tế của hành vi bất thường Chương 9: Những mô hình thay thế mô hình y tế Phần 3: Tâm lý học sinh lý Chương 10: Phát triển não và tâm lý học thần kinh lâm sàng Chương 11: Ý thức Chương 12: Cảm giác và cận tâm lý học Chương 13: Cảm xúc và động cơ thúc đẩy Phần 4: Tâm lý học xã hội Chương 14: Cái tôi và người khác Chương 15: Tìm hiểu người khác Chương 16: Ảnh hưởng xã hội và hoạt động xã hội Chương 17: Thái độ, thành kiến và hành vi đám đông Phần 5: Tâm lý học phát triển Chương 18: Tập quen và phát triển kỹ năng Chương 19: Phát triển nhận thức và nhận thức xã hội Chương 20: Phát triển xã hội Chương 21: Tâm lý học phát triển tuổi đời Phần 6: Tâm lý học so sánh Chương 22: Giới thiệu tâm lý học so sánh Chương 23: Hành vi động vật Chương 24: Giao tiếp ở động vật Chương 25: Phương pháp và đạo đức trong tâm lý học Mời bạn đón đọc.",https://books.google.com/books/content?id=A3LQEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A
16,Kiến tạo Harvard hiện đại,"Morton Keller, Phyllis Keller ",1,"Cuốn sách là bức tranh trung thực và giàu thông tin về trường đại học nổi bật nhất của Hoa Kỳ từ năm 1933 đến nay: bảy thập kỷ thay đổi kỳ diệu. Harvard của những năm đầu thế kỷ 20 là ngôi trường cổ kính và giàu có nhất đất nước, nhưng không có nghĩa là xuất sắc nhất. Đến cuối thế kỷ, trường đã được công nhận rộng rãi là cơ sở giáo dục đại học hàng đầu của quốc gia và quốc tế. Với sự nhiệt tình, hài hước và thấu hiểu, Morton và Phyllis Keller đã kể lại câu chuyện về sự chuyển mình vươn lên đó: một truyền thuyết về những con người hấp dẫn, những thành tựu đáng chú ý và cả những sai lầm về học thuật cũng đáng chú ý không kém. Với lần xuất bản này, các tác giả đã bổ sung thêm một chương về những bất đồng ý kiến xung quanh nhiệm kỳ viện trưởng và sự ra đi của Lawrence Summers. Họ cũng nêu lên khía cạnh lịch sử của những mối quan tâm lớn hiện nay ở Harvard: tác động của cuộc cách mạng khoa học đời sống, những thay đổi về chương trình giảng dạy ở trường Đại học và các truòng chuyên ngành, và việc xây dựng một cơ sở mới ở Allston.",https://books.google.com/books/content?id=CjA_EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A
17,Mặc Kệ Thiên Hạ - Sống Như Người Nhật,Mari Tamagawa,1,"Nếu bạn định than thở ""Mình mệt quá"" hay ""Mình cảm thấy bị tổn thương"" rồi chờ mong ai đó xoa dịu thì đừng nên làm như vậy. Tại sao ư? Bởi điều đó không những không thể giúp bạn giải quyết nỗi khổ của bản thân mà còn cứa sâu vào vết thương của bạn. --Quan điểm của người khác sẽ chỉ mang tới cho bạn sự băn khoăn, phiền muộn và ngày càng dồn ép bạn .. --Quan điểm của bản thân sẽ giúp bạn tự tin, thoải mái hơn và cỗ vũ bạn bước tiếp..",https://books.google.com/books/content?id=7T3CDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A
18,Cánh Cửa Tương Lai,BÙI QUYẾT,1,"Để thành công chúng ta cần có sự sáng tạo vậy làm thế nào để sáng tạo? Để sáng tạo chúng ta cần phải có những kiến thức, để có những kiến thức chúng ta cần phải tìm tòi và học hỏi. Cuốn sách ""Cánh Cửa Tương Lai"" là hành trang cần có giúp bạn bước chân trên con đường sáng tạo. chúc các bạn sớm thành công! Sách đã được đăng ký quyền tác giả tại Cục bản quyền tác giả Việt Nam.",https://books.google.com/books/content?id=O9sxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A
